dc:identifier,dc:modified,ayto:type,ayto:latitude,ayto:longitude,ayto:temperature,ayto:battery,ayto:light,ayto:noise,uri
358,2021-08-27T07:45:37Z,WeatherObserved,43.46307,-3.80887,23.03,,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/358.csv
402,2021-08-27T07:45:36Z,WeatherObserved,43.46277,-3.79724,21.48,,100.25,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/402.csv
339,2021-08-27T07:45:33Z,WeatherObserved,43.46334,-3.80668,26.58,,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/339.csv
260,2021-08-27T07:45:32Z,WeatherObserved,43.46361,-3.8019,33.87,,4005.72,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/260.csv
397,2021-08-27T07:45:26Z,WeatherObserved,43.4627,-3.80292,24.9,,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/397.csv
303,2021-08-27T07:45:21Z,WeatherObserved,43.46442,-3.79846,22.0,,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/303.csv
419,2021-08-27T07:45:20Z,WeatherObserved,43.46469,-3.79716,27.29,,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/419.csv
329,2021-08-27T07:45:16Z,WeatherObserved,43.46439,-3.80793,22.25,,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/329.csv
259,2021-08-27T07:45:16Z,WeatherObserved,43.46301,-3.80204,22.45,,1180.5,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/259.csv
496,2021-08-27T07:45:13Z,WeatherObserved,43.4644,-3.80631,43.67,,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/496.csv
356,2021-08-27T07:45:12Z,WeatherObserved,43.46293,-3.80901,23.67,,376.85,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/356.csv
403,2021-08-27T07:45:12Z,WeatherObserved,43.46327,-3.79711,29.74,,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/403.csv
529,2021-08-27T07:45:09Z,WeatherObserved,43.46313,-3.80097,23.54,,95.6,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/529.csv
299,2021-08-27T07:45:07Z,WeatherObserved,43.46438,-3.79872,21.67,,3069.41,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/299.csv
519,2021-08-27T07:45:06Z,WeatherObserved,43.46475,-3.80885,24.64,,139.3,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/519.csv
399,2021-08-27T07:45:04Z,WeatherObserved,43.4627,-3.79807,21.35,,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/399.csv
540,2021-08-27T07:45:04Z,WeatherObserved,43.46241,-3.80084,22.96,,44.41,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/540.csv
280,2021-08-27T07:45:02Z,WeatherObserved,43.46308,-3.79848,22.96,,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/280.csv
354,2021-08-27T07:45:02Z,WeatherObserved,43.46249,-3.80917,0.0,,919.88,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/354.csv
461,2021-08-27T07:45:01Z,WeatherObserved,43.46321,-3.79798,28.45,,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/461.csv
507,2021-08-27T07:44:59Z,WeatherObserved,43.46409,-3.80545,21.03,,618.41,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/507.csv
376,2021-08-27T07:44:57Z,WeatherObserved,43.46369,-3.81107,21.54,,1260.42,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/376.csv
293,2021-08-27T07:44:55Z,WeatherObserved,43.46468,-3.79723,27.61,,38395.44,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/293.csv
262,2021-08-27T07:44:54Z,WeatherObserved,43.46295,-3.80232,22.7,,1504.63,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/262.csv
373,2021-08-27T07:44:49Z,WeatherObserved,43.46368,-3.81054,21.54,,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/373.csv
296,2021-08-27T07:44:43Z,WeatherObserved,43.46425,-3.79992,32.9,,50993.28,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/296.csv
503,2021-08-27T07:44:39Z,WeatherObserved,43.46335,-3.80643,25.41,,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/503.csv
254,2021-08-27T07:44:35Z,WeatherObserved,43.46197,-3.8028,0.0,,5515.6,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/254.csv
513,2021-08-27T07:44:34Z,WeatherObserved,43.464,-3.80987,22.0,,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/513.csv
295,2021-08-27T07:44:33Z,WeatherObserved,43.46428,-3.79994,24.7,,2620.86,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/295.csv
372,2021-08-27T07:44:19Z,WeatherObserved,43.46366,-3.81079,0.0,,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/372.csv
384,2021-08-27T07:44:16Z,WeatherObserved,43.46436,-3.79663,0.0,,61.65,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/384.csv
466,2021-08-27T07:44:14Z,WeatherObserved,43.46393,-3.79777,-0.38,,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/466.csv
286,2021-08-27T07:44:13Z,WeatherObserved,43.46354,-3.7983,22.45,,6.38,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/286.csv
291,2021-08-27T07:44:12Z,WeatherObserved,43.46423,-3.80059,23.67,,10870.93,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/291.csv
363,2021-08-27T07:44:02Z,WeatherObserved,43.46327,-3.8105,34.12,,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/363.csv
453,2021-08-27T07:44:02Z,WeatherObserved,43.46212,-3.80402,19.61,,277.64,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/453.csv
266,2021-08-27T07:44:00Z,WeatherObserved,43.46291,-3.80069,22.38,,506.76,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/266.csv
274,2021-08-27T07:44:00Z,WeatherObserved,43.46248,-3.7996,21.8,,10870.93,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/274.csv
488,2021-08-27T07:43:54Z,WeatherObserved,43.46467,-3.80619,0.0,,70729.82,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/488.csv
370,2021-08-27T07:43:44Z,WeatherObserved,43.46367,-3.81114,22.38,,3183.23,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/370.csv
536,2021-08-27T07:43:36Z,WeatherObserved,43.46301,-3.79968,25.22,,9129.01,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/536.csv
514,2021-08-27T07:43:34Z,WeatherObserved,43.464,-3.80939,0.0,,0.29,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/514.csv
506,2021-08-27T07:43:32Z,WeatherObserved,43.46385,-3.80545,23.35,,247.31,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/506.csv
2502,2021-08-27T07:43:24Z,WeatherObserved,43.46368,-3.81021,0.0,,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/2502.csv
361,2021-08-27T07:43:23Z,WeatherObserved,43.46334,-3.8088,0.0,,330.29,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/361.csv
497,2021-08-27T07:43:21Z,WeatherObserved,43.46439,-3.80661,22.64,,2409.85,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/497.csv
455,2021-08-27T07:43:20Z,WeatherObserved,43.46233,-3.80013,22.06,,1294.38,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/455.csv
302,2021-08-27T07:43:10Z,WeatherObserved,43.46386,-3.79836,21.54,,114.78,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/302.csv
400,2021-08-27T07:43:08Z,WeatherObserved,43.46272,-3.79783,19.87,,1615.31,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/400.csv
283,2021-08-27T07:41:59Z,WeatherObserved,43.46337,-3.79916,23.03,,1107.12,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/283.csv
463,2021-08-27T07:41:56Z,WeatherObserved,43.46356,-3.79963,21.87,,3.66,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/463.csv
2562,2021-08-27T07:40:30Z,WeatherObserved,43.46337,-3.79942,22.25,,303.99,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/2562.csv
374,2021-08-27T07:40:02Z,WeatherObserved,43.46369,-3.80995,0.0,,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/374.csv
91,2021-08-27T07:35:16Z,NoiseLevelObserved,43.47198,-3.80134,,,,50.0,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/91.csv
282,2021-08-27T06:50:51Z,WeatherObserved,43.46369,-3.79979,21.29,,496.53,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/282.csv
82,2021-08-27T05:49:24Z,WeatherObserved,43.47126,-3.80054,19.61,,,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/82.csv
652,2021-08-27T05:09:26Z,WeatherObserved,43.45854,-3.80872,18.58,,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/652.csv
634,2021-08-27T05:08:41Z,WeatherObserved,43.4591,-3.80929,18.51,,24.79,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/634.csv
734,2021-08-27T05:06:26Z,WeatherObserved,43.45802,-3.80995,18.45,,12.15,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/734.csv
650,2021-08-27T05:02:39Z,WeatherObserved,43.45839,-3.80971,17.93,,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/650.csv
625,2021-08-27T05:00:40Z,WeatherObserved,43.4582,-3.80992,0.0,,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/625.csv
631,2021-08-27T04:58:29Z,WeatherObserved,43.45938,-3.80872,17.22,,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/631.csv
640,2021-08-27T04:58:24Z,WeatherObserved,43.4584,-3.80922,18.0,,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/640.csv
641,2021-08-27T04:58:22Z,WeatherObserved,43.45788,-3.81141,0.0,,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/641.csv
646,2021-08-27T04:41:51Z,WeatherObserved,43.4592,-3.80895,17.61,,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/646.csv
647,2021-08-27T04:38:24Z,WeatherObserved,43.45761,-3.80995,0.0,,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/647.csv
537,2021-08-27T03:18:16Z,WeatherObserved,43.4628,-3.80031,0.0,,0.02,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/537.csv
284,2021-08-27T03:17:41Z,WeatherObserved,43.46357,-3.79713,18.19,,0.01,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/284.csv
636,2021-08-27T03:08:55Z,WeatherObserved,43.45781,-3.81165,18.51,,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/636.csv
732,2021-08-27T03:06:43Z,NoiseLevelObserved,43.45647,-3.81201,,,,53.5,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/732.csv
649,2021-08-27T02:41:49Z,WeatherObserved,43.45731,-3.81245,18.38,,0.04,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/649.csv
642,2021-08-27T02:39:28Z,WeatherObserved,43.45711,-3.81211,17.8,,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/642.csv
635,2021-08-27T02:33:51Z,WeatherObserved,43.45527,-3.81383,18.45,,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/635.csv
472,2021-07-19T12:16:16Z,WeatherObserved,43.4632,-3.80296,24.58,,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/472.csv
324,2021-07-19T12:16:16Z,WeatherObserved,43.46387,-3.80474,25.61,,2.3,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/324.csv
478,2021-07-19T12:16:16Z,WeatherObserved,43.46276,-3.80485,24.83,,481.66,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/478.csv
313,2021-07-19T12:11:11Z,WeatherObserved,43.46317,-3.80328,0.0,,0.51,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/313.csv
308,2021-07-19T12:11:08Z,WeatherObserved,43.46271,-3.80518,26.25,,1294.38,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/308.csv
309,2021-07-19T12:10:56Z,WeatherObserved,43.46256,-3.80455,0.0,,17353.01,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/309.csv
325,2021-07-19T12:10:31Z,WeatherObserved,43.46379,-3.80416,0.0,,462.68,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/325.csv
479,2021-07-19T12:09:21Z,WeatherObserved,43.46299,-3.80428,24.9,,2052.33,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/479.csv
314,2021-07-19T12:08:27Z,WeatherObserved,43.46387,-3.80364,24.32,,13130.62,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/314.csv
311,2021-07-19T12:08:09Z,WeatherObserved,43.46321,-3.80446,26.58,,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/311.csv
326,2021-07-19T12:04:04Z,WeatherObserved,43.4641,-3.80333,25.61,,2409.85,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/326.csv
367,2021-07-07T00:15:58Z,WeatherObserved,43.46336,-3.81131,17.8,,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/367.csv
70,2021-07-04T23:59:55Z,WeatherObserved,43.47137,-3.80232,16.0,,,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/70.csv
10007,2021-06-30T20:47:41Z,WeatherObserved,43.47204,-3.80033,22.19,,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/10007.csv
10006,2021-06-30T20:47:30Z,WeatherObserved,43.47201,-3.80026,21.22,,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/10006.csv
10015,2021-06-30T20:47:23Z,WeatherObserved,43.47213,-3.80013,20.7,,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/10015.csv
10011,2021-06-30T20:46:45Z,WeatherObserved,43.47194,-3.80008,22.96,,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/10011.csv
10005,2021-06-30T20:46:11Z,WeatherObserved,43.47197,-3.80035,19.93,,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/10005.csv
10001,2021-06-30T20:46:04Z,WeatherObserved,43.47182,-3.80023,21.87,,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/10001.csv
10013,2021-06-30T20:45:33Z,WeatherObserved,43.47207,-3.8001,21.22,,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/10013.csv
10009,2021-06-30T20:45:14Z,WeatherObserved,43.47204,-3.80015,21.48,,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/10009.csv
10000,2021-06-30T20:44:31Z,WeatherObserved,43.47171,-3.80014,20.77,,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/10000.csv
